time,rayIndex,x,y,objectDetected
97.32179,0,0.05,0.05,Floor
97.32179,1,0.15,0.05,Floor
97.32179,2,0.25,0.05,Floor
97.32179,3,0.35,0.05,trialStarter
97.32179,4,0.45,0.05,trialStarter
97.32179,5,0.55,0.05,trialStarter
97.32179,6,0.65,0.05,trialStarter
97.32179,7,0.75,0.05,Floor
97.32179,8,0.85,0.05,Floor
97.32179,9,0.95,0.05,Floor
97.32179,10,0.05,0.15,Floor
97.32179,11,0.15,0.15,Floor
97.32179,12,0.25,0.15,Floor
97.32179,13,0.35,0.15,Floor
97.32179,14,0.45,0.15,trialStarter
97.32179,15,0.55,0.15,Floor
97.32179,16,0.65,0.15,Floor
97.32179,17,0.75,0.15,Floor
97.32179,18,0.85,0.15,Floor
97.32179,19,0.95,0.15,Floor
97.32179,20,0.05,0.25,Floor
97.32179,21,0.15,0.25,Floor
97.32179,22,0.25,0.25,Floor
97.32179,23,0.35,0.25,Floor
97.32179,24,0.45,0.25,Floor
97.32179,25,0.55,0.25,Floor
97.32179,26,0.65,0.25,Floor
97.32179,27,0.75,0.25,Floor
97.32179,28,0.85,0.25,Floor
97.32179,29,0.95,0.25,Floor
97.32179,30,0.05,0.35,Floor
97.32179,31,0.15,0.35,Floor
97.32179,32,0.25,0.35,Floor
97.32179,33,0.35,0.35,Floor
97.32179,34,0.45,0.35,Floor
97.32179,35,0.55,0.35,Floor
97.32179,36,0.65,0.35,Floor
97.32179,37,0.75,0.35,Floor
97.32179,38,0.85,0.35,Floor
97.32179,39,0.95,0.35,Floor
97.32179,40,0.05,0.45,Wall3
97.32179,41,0.15,0.45,Wall4
97.32179,42,0.25,0.45,Wall4
97.32179,43,0.35,0.45,Cube99
97.32179,44,0.45,0.45,Wall4
97.32179,45,0.55,0.45,Wall4
97.32179,46,0.65,0.45,Wall4
97.32179,47,0.75,0.45,Wall4
97.32179,48,0.85,0.45,Wall4
97.32179,49,0.95,0.45,Wall1
97.32179,50,0.05,0.55,Wall3
97.32179,51,0.15,0.55,Wall4
97.32179,52,0.25,0.55,Wall4
97.32179,53,0.35,0.55,Wall4
97.32179,54,0.45,0.55,Wall4
97.32179,55,0.55,0.55,Wall4
97.32179,56,0.65,0.55,Wall4
97.32179,57,0.75,0.55,Wall4
97.32179,58,0.85,0.55,Wall4
97.32179,59,0.95,0.55,Wall1
97.32179,60,0.05,0.65,Wall3
97.32179,61,0.15,0.65,Wall4
97.32179,62,0.25,0.65,Wall4
97.32179,63,0.35,0.65,Wall4
97.32179,64,0.45,0.65,Wall4
97.32179,65,0.55,0.65,Wall4
97.32179,66,0.65,0.65,Wall4
97.32179,67,0.75,0.65,Wall4
97.32179,68,0.85,0.65,Wall4
97.32179,69,0.95,0.65,Wall1
97.32179,70,0.05,0.75,Wall3
97.32179,79,0.95,0.75,Wall1
